,Model,Dataset,AUROC,Accuracy,Train time,Inference time,Trainable params,Shuffling
24,LR,COBRE X FBIRN,0.7810430463576159,0.7009646302250804,0.04265618324279785,2.3803526948885903e-06,,None
25,LR,COBRE X FBIRN,0.7894867549668875,0.6977491961414791,0.02752470970153809,2.2921914839667907e-06,,None
26,LR,COBRE X FBIRN,0.788203642384106,0.6945337620578779,0.03820395469665527,2.417917036933531e-06,,None
27,LR,COBRE X FBIRN,0.7761175496688741,0.6977491961414791,0.03539586067199707,2.2914248647413836e-06,,None
28,LR,COBRE X FBIRN,0.7807119205298013,0.7009646302250804,0.03796076774597168,4.1635090131851635e-06,,None
29,LR,COBRE X FBIRN,0.775,0.7009646302250804,0.03500533103942871,2.2944913416430116e-06,,None
30,LR,COBRE X FBIRN,0.7890314569536423,0.7138263665594855,0.039374589920043945,2.3979849370729503e-06,,None
31,LR,COBRE X FBIRN,0.7646937086092714,0.662379421221865,0.03075551986694336,2.2929581031921973e-06,,None
32,LR,COBRE X FBIRN,0.767094370860927,0.6913183279742765,0.03324103355407715,2.3627204527042303e-06,,None
33,LR,COBRE X FBIRN,0.7656043046357616,0.6752411575562701,0.030727863311767575,2.45088166362603e-06,,None
34,LR,COBRE X FBIRN,0.7735513245033112,0.684887459807074,0.03245139122009277,2.2070967499466186e-06,,None
35,LR,COBRE X FBIRN,0.7747930463576159,0.6881028938906752,0.03220105171203613,2.305224010798709e-06,,None
36,LR,COBRE X FBIRN,0.7672599337748346,0.6591639871382636,0.03522205352783203,2.4232833715113797e-06,,None
37,LR,COBRE X FBIRN,0.7657698675496688,0.6977491961414791,0.03301429748535156,2.2714927648808027e-06,,None
38,LR,COBRE X FBIRN,0.8105546357615894,0.7363344051446945,0.02670383453369141,2.5037783901791096e-06,,None
39,LR,COBRE X FBIRN,0.7519039735099338,0.6688102893890675,0.02697658538818359,2.5566751167321896e-06,,None
40,LR,COBRE X FBIRN,0.7958609271523179,0.7266881028938906,0.03349947929382324,2.3404884951674285e-06,,None
41,LR,COBRE X FBIRN,0.7876241721854306,0.729903536977492,0.030202388763427734,2.4370825175687046e-06,,None
42,LR,COBRE X FBIRN,0.8183360927152318,0.7106109324758842,0.03952956199645996,2.1971307000163283e-06,,None
43,LR,COBRE X FBIRN,0.8065397350993377,0.729903536977492,0.029832124710083008,2.4378491367941117e-06,,None
44,LR,COBRE X FBIRN,0.7979718543046358,0.7234726688102894,0.02958846092224121,2.3596539758026023e-06,,None
45,LR,COBRE X FBIRN,0.8198675496688742,0.7395498392282959,0.03676939010620117,2.351987783548533e-06,,None
46,LR,COBRE X FBIRN,0.7796771523178807,0.6977491961414791,0.03244447708129883,2.3711532641837068e-06,,None
47,LR,COBRE X FBIRN,0.7811672185430464,0.7138263665594855,0.03070235252380371,2.2293287074834204e-06,,None
48,LR,COBRE X FBIRN,0.8037665562913907,0.7459807073954984,0.027239084243774418,2.3136568222781858e-06,,None
49,LR,COBRE X FBIRN,0.7625413907284768,0.6881028938906752,0.03846335411071777,4.162742393959757e-06,,None
