,Model,Dataset,AUROC,Accuracy,Train time,Inference time,Trainable params,Shuffling
16,meanMLP,HCP Schaefer 200 ROI,0.8962842712842713,0.8278145695364238,49.324491024017334,0.0009665615511256338,32802,None
17,meanMLP,HCP Schaefer 200 ROI,0.8804112554112554,0.7880794701986755,146.25017738342285,0.0009644710464982796,32802,None
18,meanMLP,HCP Schaefer 200 ROI,0.8948412698412699,0.8211920529801324,38.125319957733154,0.000810034227687002,32802,None
19,meanMLP,HCP Schaefer 200 ROI,0.8878066378066378,0.8344370860927153,47.32442760467529,0.0009519990706285894,32802,None
20,meanMLP,HCP Schaefer 200 ROI,0.9112903225806452,0.8333333333333334,43.14801406860352,0.0009606122970581054,32802,None
21,meanMLP,HCP Schaefer 200 ROI,0.9116568914956013,0.8133333333333334,54.58966660499573,0.000957919756571452,32802,None
22,meanMLP,HCP Schaefer 200 ROI,0.9224706744868036,0.8333333333333334,39.56478404998779,0.0009476375579833984,32802,None
23,meanMLP,HCP Schaefer 200 ROI,0.9268695014662756,0.8466666666666667,52.04354405403137,0.0009397681554158528,32802,None
24,meanMLP,HCP Schaefer 200 ROI,0.9028592375366568,0.8333333333333334,49.66450810432434,0.0009715541203816732,32802,None
25,meanMLP,HCP Schaefer 200 ROI,0.9166055718475072,0.8466666666666667,40.30893158912659,0.0008170493443806966,32802,None
26,meanMLP,HCP Schaefer 200 ROI,0.9199046920821116,0.84,43.575045108795166,0.0009622573852539062,32802,None
27,meanMLP,HCP Schaefer 200 ROI,0.9180718475073314,0.8666666666666667,92.98803091049194,0.000989537239074707,32802,None
28,meanMLP,HCP Schaefer 200 ROI,0.9116568914956013,0.84,50.12794637680054,0.0009723361333211264,32802,None
29,meanMLP,HCP Schaefer 200 ROI,0.9250366568914956,0.84,46.94671082496643,0.0009569025039672851,32802,None
30,meanMLP,HCP Schaefer 200 ROI,0.9508797653958944,0.84,37.14994478225708,0.0009610811869303384,32802,None
31,meanMLP,HCP Schaefer 200 ROI,0.9426319648093842,0.8733333333333333,48.4358115196228,0.0009534788131713868,32802,None
32,meanMLP,HCP Schaefer 200 ROI,0.9567448680351908,0.9,51.94785523414612,0.0009474976857503256,32802,None
33,meanMLP,HCP Schaefer 200 ROI,0.9512463343108504,0.8666666666666667,47.046714305877686,0.0008694585164388021,32802,None
34,meanMLP,HCP Schaefer 200 ROI,0.9417155425219942,0.8666666666666667,40.31250023841858,0.0009526920318603516,32802,None
35,meanMLP,HCP Schaefer 200 ROI,0.9375,0.88,34.11965537071228,0.0009511343638102214,32802,None
36,meanMLP,HCP Schaefer 200 ROI,0.9470307917888564,0.86,44.27876925468445,0.000957932472229004,32802,None
37,meanMLP,HCP Schaefer 200 ROI,0.942265395894428,0.8933333333333333,40.559149742126465,0.0008241542180379232,32802,None
38,meanMLP,HCP Schaefer 200 ROI,0.967008797653959,0.8933333333333333,42.627163887023926,0.0009654378890991212,32802,None
